Date,Open,High,Low,Close,Adj Close,Volume
2020-06-29,3070.0,3110.0,3030.0,3040.0,2653.094970703125,588940500
2020-07-06,3070.0,3230.0,3030.0,3160.0,2757.822509765625,942201500
2020-07-13,3160.0,3250.0,3030.0,3050.0,2661.822021484375,750192500
2020-07-20,3050.0,3180.0,3050.0,3150.0,2749.09521484375,714894700
2020-07-27,3160.0,3180.0,2970.0,2990.0,2609.45849609375,588355100
2020-08-03,3000.0,3150.0,3000.0,3130.0,2731.640625,613768900
2020-08-10,3130.0,3450.0,3130.0,3340.0,2914.91357421875,945253100
2020-08-17,3340.0,3650.0,3340.0,3640.0,3176.732177734375,674506300
2020-08-24,3670.0,3820.0,3500.0,3510.0,3063.27734375,873178300
2020-08-31,3550.0,3690.0,3480.0,3510.0,3063.27734375,712866200
2020-09-07,3510.0,3570.0,3010.0,3440.0,3002.186279296875,1397051600
2020-09-14,3440.0,3460.0,3150.0,3190.0,2784.00439453125,818721100
2020-09-21,3110.0,3230.0,3010.0,3090.0,2696.7314453125,724228600
2020-09-28,3120.0,3210.0,3000.0,3160.0,2757.822509765625,730350300
2020-10-05,3220.0,3240.0,3080.0,3190.0,2784.00439453125,771128000
2020-10-12,3190.0,3380.0,3150.0,3280.0,2862.5498046875,818255600
2020-10-19,3280.0,3360.0,3200.0,3340.0,2914.91357421875,629625700
2020-10-26,3340.0,3400.0,3300.0,3380.0,2949.822509765625,340090100
2020-11-02,3390.0,3690.0,3290.0,3690.0,3220.368408203125,1020702000
2020-11-09,3800.0,4190.0,3770.0,3960.0,3456.005126953125,1686353700
2020-11-16,4000.0,4130.0,3930.0,4080.0,3560.732666015625,811505500
2020-11-23,4120.0,4390.0,3990.0,4090.0,3569.4599609375,1189768400
2020-11-30,4130.0,4420.0,4070.0,4400.0,3840.005859375,854975800
2020-12-07,4400.0,4450.0,4260.0,4280.0,3735.278564453125,576734700
2020-12-14,4280.0,4360.0,4210.0,4210.0,3674.187255859375,831863500
2020-12-21,4240.0,4280.0,3950.0,4250.0,3709.0966796875,427757900
2020-12-28,4250.0,4320.0,4130.0,4310.0,3761.46044921875,261792700
2021-01-04,4300.0,4660.0,4160.0,4650.0,4058.18798828125,912863900
2021-01-11,4680.0,4840.0,4540.0,4620.0,4032.005859375,951175700
2021-01-18,4700.0,4950.0,4610.0,4780.0,4171.64208984375,869112200
2021-01-25,4780.0,4790.0,3960.0,4400.0,3840.005859375,1092848300
2021-02-01,4490.0,4580.0,4260.0,4460.0,3892.36962890625,612274100
2021-02-08,4500.0,4780.0,4500.0,4710.0,4110.55126953125,781225500
2021-02-15,4740.0,4870.0,4600.0,4790.0,4180.3701171875,538851400
2021-02-22,4810.0,4830.0,4670.0,4830.0,4215.27880859375,576212800
2021-03-01,4870.0,4880.0,4700.0,4730.0,4128.0068359375,381107700
2021-03-08,4750.0,4750.0,4540.0,4570.0,3988.369873046875,446152500
2021-03-15,4660.0,4770.0,4600.0,4630.0,4040.7333984375,542180200
2021-03-22,4720.0,4780.0,4580.0,4720.0,4119.27880859375,494974500
2021-03-29,4700.0,4700.0,4160.0,4200.0,3665.460205078125,1112485800
2021-04-05,4170.0,4400.0,4150.0,4210.0,3674.187255859375,621118700
2021-04-12,4210.0,4460.0,4120.0,4380.0,3906.173828125,415149000
2021-04-19,4290.0,4330.0,4130.0,4140.0,3692.13671875,497141100
2021-04-26,4200.0,4220.0,4000.0,4010.0,3576.2001953125,708272400
2021-05-03,4020.0,4140.0,4010.0,4050.0,3611.872802734375,411421400
2021-05-10,4030.0,4040.0,3900.0,3900.0,3478.099609375,347136100
2021-05-17,3960.0,4060.0,3820.0,4040.0,3602.954833984375,632472800
2021-05-24,4070.0,4280.0,3950.0,4260.0,3799.1552734375,1265439600
2021-05-31,4350.0,4390.0,4210.0,4250.0,3790.2373046875,705989700
2021-06-07,4280.0,4350.0,4100.0,4350.0,3879.4189453125,467701100
2021-06-14,4350.0,4350.0,3860.0,3940.0,3513.772705078125,1366449600
2021-06-21,3940.0,4070.0,3920.0,3930.0,3504.8544921875,550457400
2021-06-28,3860.0,4030.0,3860.0,3900.0,3478.099609375,500561300
2021-07-05,3950.0,3950.0,3750.0,3760.0,3353.2451171875,599182100
2021-07-12,3800.0,3860.0,3700.0,3780.0,3371.081298828125,553541900
2021-07-19,3780.0,3950.0,3780.0,3830.0,3415.67236328125,355456800
2021-07-26,3860.0,3860.0,3700.0,3740.0,3335.408447265625,454335500
2021-08-02,3740.0,4090.0,3720.0,3850.0,3433.5087890625,662461800
2021-08-09,3890.0,3930.0,3800.0,3930.0,3504.8544921875,330655600
2021-08-16,3990.0,4090.0,3830.0,3960.0,3531.609130859375,565472500
2021-08-23,3950.0,3960.0,3481.758056640625,3581.75634765625,3194.28369140625,500917712
2021-08-30,3581.75634765625,3618.119384765625,3463.576416015625,3499.939453125,3121.317626953125,667799862
2021-09-06,3536.302490234375,3880.0,3518.12109375,3700.0,3299.73583984375,1021645854
2021-09-13,3720.0,3730.0,3510.0,3590.0,3201.635498046875,1379190600
2021-09-20,3510.0,3860.0,3500.0,3750.0,3344.326904296875,2273712800
2021-09-27,3770.0,4010.0,3690.0,3970.0,3540.52734375,1561635500
2021-10-04,3950.0,4240.0,3910.0,4180.0,3727.8095703125,1291528600
2021-10-11,4180.0,4410.0,4180.0,4410.0,3932.928466796875,1307833500
2021-10-18,4450.0,4460.0,4300.0,4300.0,3834.827880859375,769185900
2021-10-25,4280.0,4370.0,4200.0,4230.0,3772.400634765625,783556300
2021-11-01,4270.0,4340.0,4210.0,4230.0,3772.400634765625,498689700
2021-11-08,4230.0,4300.0,4140.0,4160.0,3709.973388671875,611943000
2021-11-15,4120.0,4310.0,4120.0,4280.0,3816.991943359375,738641600
2021-11-22,4280.0,4280.0,4080.0,4170.0,3718.891357421875,651941700
2021-11-29,4150.0,4220.0,4060.0,4110.0,3665.382080078125,819230000
2021-12-06,4190.0,4250.0,4130.0,4160.0,3709.973388671875,625597800
2021-12-13,4150.0,4230.0,4060.0,4120.0,3674.300537109375,603643700
2021-12-20,4100.0,4120.0,4050.0,4060.0,3620.791015625,412322800
2021-12-27,4090.0,4190.0,4060.0,4180.0,3727.8095703125,318460900
2022-01-03,4200.0,4240.0,4130.0,4180.0,3727.8095703125,577604000
2022-01-10,4180.0,4210.0,4130.0,4210.0,3754.564208984375,482005200
2022-01-17,4240.0,4240.0,4100.0,4120.0,3674.300537109375,478306700
2022-01-24,4100.0,4170.0,4000.0,4070.0,3629.70947265625,526590800
2022-01-31,4120.0,4410.0,4060.0,4400.0,3924.01025390625,944064600
2022-02-07,4450.0,4550.0,4380.0,4410.0,3932.928466796875,781078000
2022-02-14,4440.0,4490.0,4340.0,4490.0,4004.273681640625,565375200
2022-02-21,4440.0,4550.0,4370.0,4550.0,4057.783203125,788758700
2022-02-28,4850.0,4860.0,4520.0,4520.0,4031.028564453125,1197831400
2022-03-07,4500.0,4640.0,4370.0,4520.0,4031.028564453125,1120430500
2022-03-14,4550.0,4700.0,4530.0,4590.0,4255.72412109375,1185296000
2022-03-21,4690.0,4760.0,4620.0,4730.0,4385.52880859375,774481800
2022-03-28,4750.0,4750.0,4630.0,4700.0,4357.7138671875,584176500
2022-04-04,4730.0,4740.0,4570.0,4570.0,4237.18115234375,514625600
2022-04-11,4550.0,4640.0,4530.0,4550.0,4218.63720703125,442743500
2022-04-18,4550.0,4870.0,4540.0,4840.0,4487.517578125,1171213900
2022-04-25,4840.0,4980.0,4830.0,4870.0,4515.3330078125,648510600
2022-05-02,4750.0,4760.0,4530.0,4530.0,4200.09423828125,561600400
2022-05-09,4260.0,4580.0,4250.0,4250.0,3940.48583984375,1185101500
2022-05-16,4270.0,4530.0,4270.0,4330.0,4014.65966796875,832791800
2022-05-23,4320.0,4540.0,4320.0,4430.0,4107.376953125,708406900
2022-05-30,4470.0,4630.0,4400.0,4430.0,4107.376953125,880245000
2022-06-06,4460.0,4520.0,4260.0,4340.0,4023.931396484375,832118400
2022-06-13,4300.0,4530.0,4300.0,4400.0,4079.5615234375,831956600
2022-06-20,4430.0,4430.0,4270.0,4280.0,3968.30078125,556163800
2022-06-27,4320.0,4330.0,3960.0,4040.0,3745.779296875,1048524100
2022-07-04,4040.0,4200.0,4020.0,4120.0,3819.953125,671866700
2022-07-11,4120.0,4140.0,4010.0,4140.0,3838.49658203125,637207400
2022-07-18,4150.0,4330.0,4110.0,4250.0,3940.48583984375,621048800
2022-07-25,4270.0,4430.0,4260.0,4360.0,4042.474853515625,752163100
2022-08-01,4360.0,4420.0,4300.0,4370.0,4051.74609375,673641000
2022-08-08,4400.0,4470.0,4300.0,4300.0,3986.843994140625,819433300
2022-08-15,4350.0,4350.0,4270.0,4270.0,3959.029052734375,549904200
2022-08-22,4260.0,4330.0,4220.0,4250.0,3940.48583984375,476294200
2022-08-29,4250.0,4600.0,4240.0,4590.0,4255.72412109375,970367700
2022-09-05,4670.0,4690.0,4460.0,4560.0,4227.90966796875,887627300
2022-09-12,4560.0,4700.0,4500.0,4570.0,4237.18115234375,1004377700
2022-09-19,4570.0,4600.0,4410.0,4540.0,4209.36572265625,818919200
2022-09-26,4500.0,4560.0,4410.0,4530.0,4200.09423828125,928677300
2022-10-03,4560.0,4660.0,4340.0,4370.0,4051.74609375,889561700
2022-10-10,4390.0,4470.0,4260.0,4300.0,3986.843994140625,693101000
2022-10-17,4280.0,4540.0,4280.0,4500.0,4172.27880859375,744698000
2022-10-24,4560.0,4680.0,4500.0,4650.0,4311.35498046875,1046073000
2022-10-31,4690.0,4700.0,4570.0,4690.0,4348.44189453125,766192900
2022-11-07,4690.0,4690.0,4520.0,4580.0,4246.45263671875,697113700
2022-11-14,4580.0,4680.0,4490.0,4590.0,4255.72412109375,735882600
2022-11-21,4570.0,4830.0,4570.0,4820.0,4468.974609375,851355000
2022-11-28,4820.0,5025.0,4790.0,4890.0,4533.87646484375,1301383100
2022-12-05,4860.0,4890.0,4710.0,4850.0,4496.78955078125,902124800
2022-12-12,4870.0,5000.0,4820.0,4970.0,4608.05029296875,1243773000
2022-12-19,4930.0,4970.0,4870.0,4930.0,4570.962890625,334202500
2022-12-26,4930.0,4950.0,4800.0,4870.0,4515.3330078125,581018600
2023-01-02,4830.0,4900.0,4550.0,4590.0,4255.72412109375,917446400
2023-01-09,4550.0,4570.0,4360.0,4520.0,4190.822265625,1011770900
2023-01-16,4520.0,4670.0,4510.0,4650.0,4365.56787109375,561845800
